DAILY RETURNS % FOR NIFTY 50 STOCKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BPCL,BHARTIARTL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,HDFC,ICICIBANK,ITC,INDUSINDBK,INFY,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NTPC,NESTLEIND,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SUNPHARMA,TCS,TATACONSUM,TATAMOTORS,TATASTEEL,TECHM,TITAN,UPL,ULTRACEMCO,WIPRO
13-7-22,-0.513596792,-0.703651295,-1.562457764,1.659062658,0.547177157,0.335249598,0.091087965,-0.796894683,0.599386372,-2.941176471,0.013421017,1.880841678,-0.232076851,2.477324417,0.399221675,0.451916954,1.384005965,-1.083206308,-2.439292413,-0.04631774,-1.118063015,0.576535034,1.967706315,-2.777397087,-0.881696511,0.461214877,-3.305590036,0.406643619,2.463219376,1.343849365,-0.393046107,-0.549430765,0.243476603,1.019714438,0.686890852,0.282029819,0.444963466,-1.772393682,0.008771748,0.319618097,1.003998149,-1.489608446,0.806395122,-0.801296504,0.304846473,-0.731938454,-0.873244038,-0.102912671,0.347821741,-0.598798005
14-7-22,1.25770546,-0.316475817,0.769071675,-0.06970111,-1.713490747,0.063457903,-0.817326452,-0.373402315,-1.400968116,-0.287486558,1.292267901,-0.230760167,-0.749546148,-1.190854224,1.639412706,-0.414497688,-0.525317148,-1.607191501,-0.500786325,-0.435584059,-1.777834148,0.057326456,0.002003763,0.108535736,-0.106211894,-1.088244221,0.225875835,-1.079994152,-0.781511415,1.607301697,-0.066776506,0.201696676,1.511217768,-0.201886264,0.622753793,2.169550072,0.186527865,0.824371836,-0.078959953,-1.469680164,2.296111079,-1.316330728,0.432756941,0.222426127,0.348126205,-1.439321264,0.760161492,-1.376008241,-1.101930312,-1.290877759
15-7-22,0.929457475,0.890332237,0.863249614,1.326914288,-0.905347999,1.298150436,1.446617484,0.972179853,1.94349571,1.581853599,1.98057846,1.566520909,0.729163542,-0.162034627,-0.642564642,2.669957003,0.459829126,-2.198225471,0.814181533,0.511961254,0.2595961,0.415348604,2.830488815,2.246940952,-0.159491223,0.928307356,-0.712636841,0.104979531,-1.301365753,0.997141409,2.350937122,2.612346333,2.454551137,0.977745766,2.222907656,-0.471882808,-2.583198904,0.193986492,1.448702815,-0.052153958,-0.170473913,-0.138387728,3.225176311,2.838459138,-2.665204758,-0.204960035,2.926038282,-0.119383417,1.255438095,-1.893138815
18-7-22,0.762918532,1.210832632,0.391691818,1.33304895,3.367560797,1.806634961,2.444542961,3.460651183,1.185511672,1.725989599,-1.921326948,0.134567364,1.13754502,0.287035102,-1.757586934,0.082399473,2.152774929,1.941908343,-1.064571747,0.527871064,0.639270788,4.721157771,-0.583998443,-0.532469134,2.768901447,0.596150595,4.416907003,4.163320096,1.65683338,3.241599518,2.54028837,-0.776117356,-0.83446781,0.033390985,-0.778305458,2.647167855,0.453892492,0.851442692,1.878062566,2.337712766,0.500906635,2.300804773,0.480676498,2.430709157,2.319532778,3.512016063,2.180664067,2.345561001,3.019607251,2.767549533
19-7-22,1.142925808,1.25042244,1.851988832,0.041420215,2.352078305,0.450545319,0.101494937,1.590202449,0.237492093,1.485564615,0.331130218,-0.692608897,1.354802617,0.395887311,-0.407518766,1.356823679,0.97317801,-1.177382666,0.037104373,-1.26208678,-0.594403744,0.231546169,0.565888036,0.607898276,1.12046943,-0.237040985,2.003406174,-0.385931936,-0.187735468,-0.579745502,0.124447948,1.964068723,0.126939209,0.63417689,-1.329910589,-1.539639794,-0.118906064,0.61307041,-0.611652963,1.560274156,-0.849569563,0.350905827,-0.893809557,-0.410291866,1.675328984,-0.029760714,0.167601514,-0.102184076,1.729242406,0.222357999
20-7-22,-0.008156937,-0.727638451,2.239939558,-0.419003895,0.727952637,0.0012506,0.139297336,-0.19325574,0.173753916,-0.334373595,1.078564695,2.170402902,-0.201762421,-0.309068088,0.243937549,-1.062480148,-0.03813112,3.113410321,1.261080775,-1.996643314,0.912110861,0.380484836,1.423316252,0.61775494,0.313834872,1.221997938,1.290175361,2.098846107,0.94041211,-0.392378604,0.586767355,-1.736562782,0.380917495,-0.132667993,1.302667908,3.635653579,-0.357142857,2.704029353,1.376135619,2.138767696,-0.891121685,2.94543544,0.984439505,0.979851713,0.978847137,3.751115168,1.338568653,0.277639229,0.051757798,1.590043657
21-7-22,1.811427532,1.439044069,0.968306186,1.98407251,1.395773818,1.374295657,3.169037322,2.380699247,1.766006274,1.148132666,0.710496843,-1.324503311,0.379075045,1.412481108,-1.965795391,1.188832545,1.591922562,0.7684748,-0.315010355,0.742567386,0.744673176,1.786924568,0.113263621,0.49296408,0.370326151,0.452708231,7.824404519,1.161484487,-0.474292896,-1.488165832,1.448321717,0.814995908,0.548061745,0.199271334,1.197015726,0.414940013,1.457588053,-0.667197403,-1.475485795,0.678329131,0.247841383,0.39496966,2.930816101,0.308742742,0.630081312,-1.219512195,0.766121318,2.732240437,0.68484472,0.46105168
22-7-22,0.156277379,0,-0.596378385,0.042392745,2.124241808,-0.062854758,-0.138025214,0.297255047,-0.743732231,0.073708265,0.413693451,0.37170635,-0.755286986,0.05929635,0.054903844,2.155009349,3.87477816,-0.454325485,2.333272093,1.115105702,0.835734553,1.4097587,1.271362735,2.388068647,1.78753028,0.333834098,-0.595924918,-1.735271354,-0.868007166,1.474545349,0.147294902,0.506314247,0.385929237,-1.25953525,0.79087262,-0.48836136,-1.083373984,0.675704809,-0.308082482,0.322238851,0.55769285,-0.198283099,-1.741415154,0.010989997,0.187309215,-0.392161607,1.590487654,2.836879433,5.350122981,-0.760868116
25-7-22,2.04849956,-0.57010116,1.565949144,1.224165423,-0.465278686,-0.822545271,-0.49934087,-1.0561258,-0.983451176,-0.066281508,0.373243906,-1.26530072,1.927949206,-0.591293896,-0.982055448,-1.934812082,-1.501953946,1.130130291,0.294432747,-1.542056075,-1.140479136,1.521308328,-0.643793053,0.553145812,0.106247861,0.183003834,2.079683352,-0.179252002,0.523648028,-1.726776171,0.831562778,-3.831174407,-2.370646209,0.772077223,-1.218595275,-2.000750517,-1.000002857,-3.303910861,-1.716811953,0.798126514,-0.70326175,-0.134027121,0.485047455,-1.17608399,2.633403046,-1.113050602,0.165595613,1.234484414,-1.17361529,0.961417048
26-7-22,0.35677302,-0.113345688,-1.902186421,0.114335144,-2.873439842,-2.376181101,0.601416332,5.495052947,0.409906361,0.840205159,-2.026557605,-0.427169832,0.696868612,-2.313012953,-2.737523186,-2.053970357,1.091089489,-1.842800576,-0.204065305,-0.797344471,-1.342096155,-1.330575936,-2.91584072,-0.699538808,-0.57435833,0.448358012,-0.046776364,-3.488291623,2.092228864,-1.890789567,-1.75039703,0.013208082,-1.110582773,-0.066626247,-1.322404955,-1.232670233,0.577206366,0.045451084,-0.58954542,-0.695244512,-0.080607131,-1.605750312,-2.116472027,-1.868533917,-1.165819715,-1.759648464,-1.53080471,-1.035497769,0.262419907,-2.314362651
