CLOSING PRICE HISTORICAL DATA FOR NIFTY 50 STOCKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BPCL,BHARTIARTL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,HDFC,ICICIBANK,ITC,INDUSINDBK,INFY,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NTPC,NESTLEIND,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SUNPHARMA,TCS,TATACONSUM,TATAMOTORS,TATASTEEL,TECHM,TITAN,UPL,ULTRACEMCO,WIPRO
13-7-22,2353.5,726.75,3868.300049,2941.199951,679.900024,3860.75,5878.899902,1177.02002,310.5,643.5,3726,953.349976,193.449997,3778.800049,4501.600098,2967.399902,1399.150024,917.75,1357.849976,539.5,2843.350098,348.899994,2497.75,2165.050049,753.200012,294.049988,819.049988,1444.449951,588.599976,1742.050049,1647.25,1140.349976,8440.200195,148.600006,18249.65039,124.449997,214.449997,2377.550049,1139.849976,486.5,860.150024,3038.75,762.549988,427.100006,90.485001,990.049988,2111.399902,679.5,5798.950195,406.700012
14-7-22,2383.100098,724.450012,3898.050049,2939.149902,668.25,3863.199951,5830.850098,1172.625,306.149994,641.650024,3774.149902,951.150024,192,3733.800049,4575.399902,2955.100098,1391.800049,903,1351.050049,537.150024,2792.800049,349.100006,2497.800049,2167.399902,752.400024,290.850006,820.900024,1428.849976,584,1770.050049,1646.150024,1142.650024,8567.75,148.300003,18363.30078,127.150002,214.850006,2397.149902,1138.949951,479.350006,879.900024,2998.75,765.849976,428.049988,90.800003,975.799988,2127.449951,670.150024,5735.049805,401.450012
15-7-22,2405.25,730.900024,3931.699951,2978.149902,662.200012,3913.350098,5915.200195,1184.025024,312.100006,651.799988,3848.899902,966.049988,193.399994,3727.75,4546,3034,1398.199951,883.150024,1362.050049,539.900024,2800.050049,350.549988,2568.5,2216.100098,751.200012,293.549988,815.049988,1430.349976,576.400024,1787.699951,1684.849976,1172.5,8778.049805,149.75,18771.5,126.550003,209.300003,2401.800049,1155.449951,479.100006,878.400024,2994.600098,790.549988,440.200012,88.379997,973.799988,2189.699951,669.349976,5807.049805,393.850006
18-7-22,2423.600098,739.75,3947.100098,3017.850098,684.5,3984.050049,6059.799805,1225,315.799988,663.049988,3774.949951,967.349976,195.600006,3738.449951,4466.100098,3036.5,1428.300049,900.299988,1347.550049,542.75,2817.949951,367.100006,2553.5,2204.300049,772,295.299988,851.049988,1489.900024,585.950012,1845.650024,1727.650024,1163.400024,8704.799805,149.800003,18625.40039,129.899994,210.25,2422.25,1177.150024,490.299988,882.799988,3063.5,794.349976,450.899994,90.43,1008,2237.449951,685.049988,5982.399902,404.75
19-7-22,2451.300049,749,4020.199951,3019.100098,700.599976,4002,6065.950195,1244.47998,316.549988,672.900024,3787.449951,960.650024,198.25,3753.25,4447.899902,3077.699951,1442.199951,889.700012,1348.050049,535.900024,2801.199951,367.950012,2567.949951,2217.699951,780.650024,294.600006,868.099976,1484.150024,584.849976,1834.949951,1729.800049,1186.25,8715.849609,150.75,18377.69922,127.900002,210,2437.100098,1169.949951,497.950012,875.299988,3074.25,787.25,449.049988,91.945,1007.700012,2241.199951,684.349976,6085.850098,405.649994
20-7-22,2451.100098,743.549988,4110.25,3006.449951,705.700012,4002.050049,6074.399902,1242.074951,317.100006,670.650024,3828.300049,981.5,197.850006,3741.649902,4458.75,3045,1441.650024,917.400024,1365.050049,525.200012,2826.75,369.350006,2604.5,2231.399902,783.099976,298.200012,879.299988,1515.300049,590.349976,1827.75,1739.949951,1165.650024,8749.049805,150.550003,18617.09961,132.550003,209.25,2503,1186.050049,508.600006,867.5,3164.800049,795,453.450012,92.845001,1045.5,2271.199951,686.25,6089,412.100006
21-7-22,2495.5,754.25,4150.049805,3066.100098,715.549988,4057.050049,6266.899902,1271.64502,322.700012,678.349976,3855.5,968.5,198.600006,3794.5,4371.100098,3081.199951,1464.599976,924.450012,1360.75,529.099976,2847.800049,375.950012,2607.449951,2242.399902,786,299.549988,948.099976,1532.900024,587.549988,1800.550049,1765.150024,1175.150024,8797,150.850006,18839.94922,133.100006,212.300003,2486.300049,1168.550049,512.049988,869.650024,3177.300049,818.299988,454.850006,93.43,1032.75,2288.600098,705,6130.700195,414
22-7-22,2499.399902,754.25,4125.299805,3067.399902,730.75,4054.5,6258.25,1275.425049,320.299988,678.849976,3871.449951,972.099976,197.100006,3796.75,4373.5,3147.600098,1521.349976,920.25,1392.5,535,2871.600098,381.25,2640.600098,2295.949951,800.049988,300.549988,942.450012,1506.300049,582.450012,1827.099976,1767.75,1181.099976,8830.950195,148.949997,18988.94922,132.449997,210,2503.100098,1164.949951,513.700012,874.5,3171,804.049988,454.899994,93.605003,1028.699951,2325,725,6458.700195,410.850006
25-7-22,2550.600098,749.950012,4189.899902,3104.949951,727.349976,4021.149902,6227,1261.954956,317.149994,678.400024,3885.899902,959.799988,200.899994,3774.300049,4330.549805,3086.699951,1498.5,930.650024,1396.599976,526.75,2838.850098,387.049988,2623.600098,2308.649902,800.900024,301.100006,962.049988,1503.599976,585.5,1795.550049,1782.449951,1135.849976,8621.599609,150.100006,18757.55078,129.800003,207.899994,2420.399902,1144.949951,517.799988,868.349976,3166.75,807.950012,449.549988,96.07,1017.25,2328.850098,733.950012,6382.899902,414.799988
26-7-22,2559.699951,749.099976,4110.200195,3108.5,706.450012,3925.600098,6264.450195,1331.300049,318.450012,684.099976,3807.149902,955.700012,202.300003,3687,4212,3023.300049,1514.849976,913.5,1393.75,522.549988,2800.75,381.899994,2547.100098,2292.5,796.299988,302.450012,961.599976,1451.150024,597.75,1761.599976,1751.25,1136,8525.849609,150,18509.5,128.199997,209.100006,2421.5,1138.199951,514.200012,867.650024,3115.899902,790.849976,441.149994,94.949997,999.349976,2293.199951,726.349976,6399.649902,405.200012
